"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.42859,-0.33476,-0.457164,-0.268293,-0.311445,0.333331,-0.764087,0.565233,0.718965,0.550543,-0.070269,-0.263917,-0.98597,-0.124922,-0.443436,-0.431897,-0.775146,-0.0191,-0.389984,0.273641,0.393361,0.233433,0.060027,0.377646,-0.428493,0.949956,-0.426653,-0.499305,-0.054166,0.995132,0.025971,0.443655,-0.383145,0.500961,1.021869,-0.476583,-0.656039,-0.729997,-0.556826,0.293422,-0.969032,0.506093,0.658194,0.068821,-0.802945,0.987638,1.408747,0.739071,1
4,-0.427696,-0.639261,-0.45746,-0.281884,-0.458833,-1.219101,-0.470816,-2.067465,-1.532207,-1.275574,-0.342026,0.446641,-1.374683,-0.244526,-0.117193,0.637795,-0.449742,0.014823,0.378843,-0.363732,-0.290404,0.418149,-1.021557,0.035491,-0.438477,0.138914,-0.100607,0.062706,-0.660056,-0.211829,-1.127749,1.435563,-0.290622,0.15457,0.462952,-0.540209,-1.341723,-1.065039,-1.362462,0.334767,-0.783529,-0.652111,-0.703733,-0.056719,0.030549,-0.485069,0.286246,1.789792,1
1,1.5842,1.895535,1.527342,2.777627,3.215991,0.091092,1.685667,-0.505686,-0.119023,0.24248,-1.503455,0.171392,0.990336,-0.21419,0.002497,-1.176033,-0.771563,0.249221,-1.041286,-0.19261,-0.096093,-0.246222,-0.696171,-0.107776,-0.494033,0.504336,0.693493,-0.161588,0.613857,0.364687,1.82718,-0.335648,0.233891,1.208104,1.082752,-0.470614,-0.78762,-0.73728,-0.877306,-0.42826,-0.325885,0.728023,0.878161,0.269777,-0.831514,0.464023,0.573425,1.408546,1
4,-0.427964,-0.517557,-0.459399,-0.280159,-0.432982,0.395748,-0.767956,0.861048,0.681017,0.208705,1.91804,-0.130597,0.510745,0.515722,0.598003,1.099884,0.06053,1.554298,1.082799,2.271226,2.083525,0.223785,1.340398,-0.147178,0.798309,-0.292156,0.869621,-2.710457,0.619793,-0.532676,0.372871,-0.834393,0.441089,1.178358,0.194149,1.251073,-3.347976,-2.701404,-3.367688,-0.199697,-0.810298,-0.615623,-0.652987,-1.632116,0.28747,-0.012078,-1.497171,-0.411734,1
4,1.477586,-0.47296,1.404147,-0.271807,-0.341526,0.604835,-0.232201,0.770158,0.681715,0.572866,0.101006,-0.031487,-1.289796,0.231394,0.020573,0.624717,1.512528,-1.36915,0.517886,-1.11179,-1.279709,-0.588515,-1.385299,-1.034586,-0.34226,0.074401,-1.01621,1.17743,0.5565,-0.582787,-0.505945,0.104577,0.875557,-0.061765,0.171141,-0.002316,-0.113849,-1.039099,-0.148315,-0.654362,0.657425,-0.359592,-0.315199,-1.055404,0.624296,-0.668981,0.595602,0.270401,1
1,-1.778351,0.635426,-1.745889,-0.181855,0.100812,-2.819203,-0.723861,-3.620777,-3.212969,-2.662278,-1.072352,0.599585,-0.170421,-0.997059,-0.784919,0.989993,1.37619,-0.785452,1.023298,-0.808628,-0.84524,-0.781395,-1.020316,-0.620318,-0.481896,-0.633164,-0.070489,1.308471,-1.06302,-0.829811,-0.301363,-0.743984,-1.285428,-0.838337,-0.33527,-0.499789,1.994002,3.058842,2.248006,1.268479,0.208097,-0.002906,0.112156,-0.002157,-0.652821,-0.573222,1.176149,0.772482,1
4,-0.791365,-0.555631,-0.807001,-0.258794,-0.242428,-0.964516,2.016584,-1.434059,-1.015053,-0.88725,-0.818732,0.50854,-1.506926,-0.869412,-0.462216,-0.278205,1.050655,-1.429782,-0.261365,-0.846001,-0.89587,-0.242971,-1.443151,-0.418795,-0.439059,-0.584826,0.824863,0.078882,-1.020328,0.010033,0.788099,-0.057791,-1.944607,-0.695344,0.442167,-0.269757,-1.147161,-0.064001,-1.130013,2.137835,1.658666,0.295866,0.440354,0.298445,-0.147618,-0.383822,-0.726059,-0.933816,1
4,-0.328908,0.340898,-0.362306,-0.242807,-0.149293,-0.72422,-0.767956,-0.644843,-0.887248,-0.62151,-0.437522,-1.309193,0.745816,0.045692,-0.321106,-1.766127,-1.154025,1.139962,-1.812625,1.532516,1.515248,2.463988,0.259576,2.824972,-0.501344,-0.342192,1.920329,-0.082419,0.440431,3.061135,-0.635007,-0.161873,-1.63369,0.242741,3.311145,-1.19519,-0.134129,1.775408,0.142136,2.460495,2.257215,1.156888,1.278562,-0.565171,-1.073262,3.406402,0.877022,2.216056,1
4,1.543057,-0.277887,1.465884,-0.225872,-0.067985,0.262568,-0.396894,-0.178257,0.256214,-0.108365,1.6376,-1.138219,-1.007006,-0.448376,-0.49333,-0.375956,0.024726,-0.9876,-0.472868,-1.018956,-1.140468,-0.262195,-0.650231,-0.40443,-0.411735,-0.885356,-0.91192,-0.348227,-0.434811,0.128793,-0.407479,-0.84066,1.717464,-0.430476,-0.65088,-0.274096,-0.457796,-0.744308,-0.474971,-0.867599,2.541178,-0.34734,-0.299757,0.032311,-0.903538,-0.062796,1.157067,-0.590957,1
4,-0.151858,-0.832033,-0.191359,-0.285331,-0.534938,-1.773427,-0.767956,-2.204364,-2.032756,-1.769697,-0.457485,0.171974,-0.330153,-0.019993,0.07716,-1.08609,-0.623269,-1.220783,-1.387029,-0.659376,-0.649893,-0.199681,0.360857,0.336371,-0.396053,-0.351591,-0.598268,0.320412,0.31498,0.794067,0.119605,0.071066,-1.340926,1.163307,1.102816,-0.148025,0.743774,0.822417,1.007526,0.712179,-0.809393,0.043145,0.164328,-0.06641,-0.41755,0.653639,0.975614,0.215262,1
