"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.477515,1.505965,-0.504514,-0.24198,-0.144991,-0.321022,1.525085,-0.26463,-0.248623,-0.264888,-0.437912,-0.385272,1.394867,0.82086,0.310287,-0.641841,-0.430334,0.129394,-0.834187,0.291107,0.410725,-0.536425,0.613308,0.37608,-0.260157,-0.849029,0.2457,-0.641086,1.605421,1.162782,-0.102289,-0.59611,1.085394,-0.527117,-0.385745,-0.511442,1.05419,1.713882,1.052909,0.941087,-0.05954,0.620421,0.772709,2.600107,0.587597,0.083238,1.710796,1.022375,1
5,1.184129,-0.222454,1.324951,-0.129613,0.259375,0.366597,-0.759169,0.302443,0.346022,0.345986,0.091117,0.72822,1.27306,0.248486,0.584559,0.194229,0.807629,0.53167,0.249363,-0.343063,-0.266447,0.66333,-0.604167,0.675504,-0.533902,0.137278,0.124832,0.442726,-0.676403,-0.278196,-0.068735,1.293486,0.403424,-1.044802,0.245394,-0.760472,-0.062649,0.798649,0.11974,0.903793,0.940391,0.211132,0.349646,0.816562,-0.864032,-0.540472,-2.992378,-0.355524,1
3,-1.113712,-0.013858,-1.044451,-0.05934,0.435207,-5.103267,-0.048242,-4.561006,-5.002038,-5.02984,1.222598,-0.571426,0.432541,-1.09736,-1.857619,-1.511289,-0.197507,-0.666714,-1.320485,-0.020278,0.091064,-1.342753,0.877917,0.265082,-0.429905,0.532558,-0.46824,0.428644,-0.114957,1.900977,3.458606,-0.96513,1.043491,2.976738,5.802056,-0.468961,-0.093972,-0.342181,-0.237834,0.208883,-1.224084,6.735813,5.030072,-0.822512,-0.627285,2.256599,-1.463562,-0.29895,1
4,1.548558,-0.482455,1.469883,-0.272851,-0.351142,1.345841,-0.714993,1.443646,1.290671,1.190875,1.31069,0.409493,-0.60603,-0.239215,0.129175,0.363984,1.877011,-1.189417,0.892651,-0.297216,-0.213798,-0.056594,-1.094391,-0.365672,-0.413882,0.239351,-1.376606,0.012817,-0.274092,0.238058,-0.649139,0.066528,0.407822,-0.855278,-0.174849,-0.677462,-0.859435,-0.993034,-0.941682,-1.128442,0.89914,-0.317261,-0.262096,0.546511,-0.674614,-0.202565,0.400482,-0.090272,1
4,-0.786356,-0.421842,-0.794168,-0.264586,-0.282747,1.903254,-0.075328,1.680749,1.790721,1.891182,-0.028787,0.009205,-0.402431,1.207776,1.590105,1.426142,-0.933331,1.91569,1.499135,-0.989126,-1.096981,-0.33669,0.273702,-0.889328,2.648873,0.379314,-0.921296,1.515963,-2.065998,-1.284961,-0.11488,-1.30207,0.661402,-1.523271,-1.377673,-0.172636,-1.364545,-1.888461,-1.315934,0.288657,-0.738523,-0.93887,-1.131008,-0.094341,-0.757418,-1.02253,-0.006607,-0.32865,1
4,-0.429127,-0.514775,-0.454719,-0.272246,-0.345522,1.128524,-0.659854,1.021657,1.015364,1.166977,-0.183017,0.441057,-1.050906,-0.904704,-0.518461,1.409414,0.068069,0.009424,1.31183,-0.165373,-0.065973,-0.004964,-1.086574,-0.461473,-0.457516,1.27899,0.153396,-0.711691,1.818746,-0.027379,-0.475322,-0.693076,0.11058,0.408211,-0.333617,0.359018,-0.760983,-1.223615,-0.658298,0.318576,-0.328823,-0.001086,0.11423,1.231533,0.605352,-0.314307,-1.722978,-0.545199,1
4,-0.327342,-0.42587,-0.360385,-0.278189,-0.407551,0.008326,-0.767956,0.413374,0.081885,-0.078155,0.313551,-1.54556,-0.311092,-0.867652,-1.02626,-0.061546,-1.173785,0.179228,-0.368016,-0.22176,-0.128566,0.488367,0.68784,0.820156,-0.44301,-1.353266,-0.886779,0.559712,-0.105551,1.269977,-1.359237,0.781805,1.256207,0.954241,0.497143,0.266249,1.496454,-0.223472,1.283897,-1.586789,0.483897,0.197,0.334343,0.511114,-0.422596,1.101593,-1.014012,0.814612,1
3,1.582143,0.167213,1.503597,-0.271588,-0.339552,-0.207962,1.417709,-0.194064,-0.372788,-0.136799,-0.765402,-0.735031,-0.815884,-1.354703,-1.057071,0.044402,0.732042,0.41863,0.30718,-0.221158,-0.127893,0.913883,0.754308,0.665991,-0.034054,-0.221015,-0.143788,0.781967,0.662461,0.576412,0.09734,1.414172,-0.374029,-0.299643,-0.067349,-0.486939,-0.240679,1.768189,-0.020072,1.992034,1.229509,0.638834,0.790911,0.845776,-0.82291,0.853248,-0.196226,-0.265818,1
4,-0.429127,-0.239525,-0.459765,-0.281435,-0.451692,0.605978,1.766199,0.114454,0.42082,0.719694,-1.488226,0.706038,-1.12292,-0.145855,0.117621,0.243065,0.837016,-1.346609,0.136747,-1.25418,-1.506362,-0.436134,0.100276,-0.672852,0.153339,-1.587343,-1.42556,0.06537,1.458063,-0.571063,-0.456739,-0.020332,0.295627,0.306101,-0.509337,-0.062103,0.941415,-0.213569,0.966829,-0.241694,0.165412,-0.833854,-0.968103,0.442022,-0.260827,-0.457736,0.151381,0.409145,1
5,1.37844,-0.02364,1.388399,-0.154873,0.186682,0.928125,1.884217,0.413374,0.741205,0.912994,-1.047338,1.43084,0.093176,0.526111,0.813109,0.466907,1.51877,-1.288108,0.524509,-0.591826,-0.564768,-0.708667,-0.916146,-0.86183,-0.183874,-0.444069,-0.123348,0.869536,-0.082276,-0.904912,-0.050868,-0.924075,0.166558,-1.073881,-1.234503,0.087262,-1.248357,-0.079591,-0.978338,0.790325,-1.069614,-0.695248,-0.764675,1.765602,1.782074,-0.82537,-1.455139,-1.018795,1
4,1.088158,-0.264844,1.021626,-0.252685,-0.204274,0.755048,0.581508,0.250788,0.637385,0.86813,-0.88427,0.847157,-0.972439,-0.546396,-0.19708,-0.02364,0.067937,0.112045,0.072458,-0.922034,-1.001216,0.048292,-0.476784,-0.356629,-0.147925,1.869578,-0.094934,0.660903,0.116092,-0.159485,-0.551801,-0.544577,1.518023,-0.253268,-0.505497,-0.048988,-0.408269,-0.059593,-0.538927,-0.489126,0.31498,0.078068,0.203487,0.401446,-0.843944,0.288862,-0.698725,-0.246538,1
4,0.005335,-0.561194,-0.040229,-0.284182,-0.503032,-1.331246,-0.726037,-0.706377,-1.006726,-1.378883,1.013402,-1.321094,1.233835,-0.238042,-0.977898,-1.744988,-2.37513,2.608514,-1.716279,2.299207,2.104072,1.48655,0.064803,1.949783,-0.521953,1.857676,2.289046,-0.53666,0.35951,1.475284,1.334971,-0.684426,-2.217939,2.317149,1.876489,-0.078537,-0.24262,0.224848,-0.173159,-0.114552,-0.430147,1.688219,1.737709,-0.472884,-0.131318,1.105789,-1.730542,-0.147731,1
4,-0.427606,0.346653,-0.458945,-0.265808,-0.291917,0.427872,1.575872,0.966333,0.552215,0.441742,-0.019089,-1.359722,0.320808,0.118461,-0.724642,0.369899,-0.205969,0.536847,0.1309,0.127581,0.245608,0.494128,-0.653367,0.523131,-0.519579,0.879572,0.58231,-0.388437,-0.341436,-0.263998,2.178142,-1.372744,-1.013296,0.147567,0.665061,-0.72761,0.037075,0.805677,0.185879,1.185965,-0.056803,0.698105,0.849059,-0.237607,-0.467887,0.214402,1.775951,-1.956019,1
4,-0.260082,-0.357777,-0.284174,-0.277784,-0.402711,0.581057,2.047298,0.681527,0.50589,0.731629,-1.111531,-0.085727,-0.362992,-0.205676,-0.286736,0.926615,-0.844754,0.333105,0.790174,-0.295121,-0.211408,0.081864,1.031809,-0.165072,0.036095,-0.002453,-0.206446,0.344989,0.351675,-0.080798,0.14302,0.726708,-0.305736,2.0951,0.306874,0.529101,1.582725,0.542895,1.490492,-0.250472,-0.421345,0.251219,0.392779,0.820293,-0.336657,0.337063,-0.236453,-0.312154,1
4,-0.477246,-0.413499,-0.505527,-0.27484,-0.370564,-0.451916,1.484456,-0.06535,-0.278442,-0.25449,-0.698054,0.207779,-1.052618,-0.162586,-0.478518,-0.699305,-0.059169,-0.016132,-0.760372,-0.23775,-0.146483,-0.296192,0.241792,0.797238,-0.473702,-1.725475,-1.539979,-0.600632,1.242502,1.119858,-1.332927,-0.293651,1.333936,-1.588076,-1.359561,-0.307467,-0.335584,-0.67537,-0.392148,0.631173,0.914842,-0.707123,-0.781638,0.499134,-0.576274,-0.446851,1.267607,0.925526,1
4,-0.575274,-0.343104,-0.59279,-0.268923,-0.316603,-1.684488,-0.101285,-2.060973,-1.732915,-1.674566,0.028785,-1.00376,0.571895,0.086836,-0.38677,-0.161717,-0.493788,-0.290657,-0.345431,-0.274295,-0.187723,-1.073364,0.409287,-0.181383,-0.458476,2.242849,1.539293,-0.131084,0.218922,0.308416,0.579874,-0.302492,-1.079989,2.638952,2.126079,0.787738,-0.511607,-0.440061,-0.51472,-0.01397,-0.811976,2.131932,2.095801,-1.407097,1.013762,0.65002,-1.035157,-0.347115,1
4,1.443777,3.322425,1.363938,-0.040716,0.477028,-0.017967,0.327335,-0.235839,-0.084566,-0.090638,0.311072,-1.81953,-1.292117,0.216417,0.397686,-1.272085,-0.873701,0.153261,-1.16122,-0.309019,-0.227288,-0.100485,-1.574918,-0.127889,-0.548463,-0.559191,-0.544982,0.600982,-1.044135,-0.641049,-1.155869,0.287988,1.660047,-1.0926,-0.649707,-0.767708,-0.130716,-0.914704,-0.106101,0.154101,-1.331165,-0.640277,-0.687196,0.823258,-0.936228,-0.591691,1.233998,-0.128226,1
